locname,nmeas,firstyear,lastyear,nyears,yearspan,mean,std,q05,q50,q95,q95-q05,ref,firstdate,lastdate,alias,xcr,ycr
P11E0002,93.0,1980.0,1988.0,8.0,9.0,184.78494623655914,12.690161768220287,168.4,183.0,202.79999999999998,34.39999999999998,NAP,1980-01-14,1988-01-28,11ES7022,206500.0,563730.0
P11E0003,86.0,1980.0,1987.0,8.0,8.0,175.32558139534885,12.889066831064609,146.0,180.0,188.0,42.0,NAP,1980-01-14,1987-11-14,11ES7023,206270.0,564000.0
P11E0004,64.0,1980.0,1988.0,8.0,9.0,169.34375,29.11238145477374,127.0,189.0,194.85,67.85,NAP,1980-01-14,1988-01-28,11ES7024,206080.0,564230.0
P11E0005,30.0,1980.0,1981.0,2.0,2.0,167.53333333333333,14.599795306390625,141.0,169.0,186.49999999999997,45.49999999999997,NAP,1980-01-14,1981-07-29,11ES7025,206680.0,563835.0
P11E0006,33.0,1980.0,1983.0,4.0,4.0,286.42424242424244,12.813640932201665,267.2,293.0,299.0,31.80000000000001,NAP,1980-01-14,1983-06-14,11ES7026,206490.0,563480.0
P11E0007,10.0,1980.0,1980.0,1.0,1.0,222.0,2.3570226039551585,219.0,223.0,225.1,6.099999999999994,NAP,1980-01-14,1980-07-28,11ES7027,206715.0,563570.0
P11E0008,5.0,1980.0,1980.0,1.0,1.0,186.2,3.96232255123179,182.2,187.0,191.0,8.800000000000011,NAP,1980-01-14,1980-07-14,11ES7028,206905.0,563725.0
P11E0009,40.0,1980.0,1984.0,5.0,5.0,302.875,13.627249285051002,281.75,298.0,319.15,37.39999999999998,NAP,1980-01-14,1984-03-28,11ES7029,206510.0,563470.0
P11E0010,102.0,1980.0,1988.0,9.0,9.0,219.30392156862746,7.7673972292242,212.05,220.0,232.89999999999998,20.849999999999966,NAP,1980-01-14,1988-01-28,11ES7030,206825.0,563630.0
P11E0011,12.0,1980.0,1980.0,1.0,1.0,248.5,19.100214182521142,229.0,244.0,278.9,49.89999999999998,NAP,1980-01-14,1980-08-28,11ES7031,207670.0,563295.0
P11E0012,0.0,,,0.0,,,,,,,,NAP,,,11ES7032,207350.0,563640.0
P11E0013,159.0,1980.0,1988.0,9.0,9.0,266.42138364779873,5.51107475079452,259.0,266.0,271.2,12.199999999999989,NAP,1980-01-14,1988-01-28,11ES7033,207515.0,563270.0
P11E0014,159.0,1980.0,1988.0,9.0,9.0,242.64779874213838,3.5456130226061595,237.89999999999998,242.0,249.1,11.200000000000017,NAP,1980-01-14,1988-01-28,11ES7034,207245.0,563560.0
P11E0015,149.0,1980.0,1988.0,9.0,9.0,243.05369127516778,21.464233365883956,230.0,232.0,291.0,61.0,NAP,1980-01-14,1988-01-28,11ES7035,207165.0,563670.0
P11E0016,166.0,1980.0,1988.0,9.0,9.0,45.62048192771084,19.553049884003727,7.5,46.5,72.75,65.25,NAP,1980-01-14,1988-01-28,11ES7036,206620.0,564630.0
P11E0017,132.0,1980.0,1988.0,9.0,9.0,185.99242424242425,9.183037974689992,181.0,184.0,197.0,16.0,NAP,1980-01-14,1988-01-28,11ES7037,207175.0,563970.0
P11E0018,125.0,1980.0,1988.0,9.0,9.0,156.512,8.900540034358913,146.0,156.0,168.0,22.0,NAP,1980-01-14,1988-01-28,11ES7038,207000.0,563845.0
P11E0019,164.0,1980.0,1988.0,9.0,9.0,261.7621951219512,7.950662900076376,250.0,262.0,273.0,23.0,NAP,1980-01-14,1988-01-28,11ES7040,207760.0,563310.0
P11E0020,23.0,1980.0,1983.0,4.0,4.0,299.9130434782609,3.7039664670367642,295.1,300.0,304.79999999999995,9.699999999999932,NAP,1980-07-14,1983-03-14,11ES7041,207200.0,563750.0
P11E0021,96.0,1991.0,1996.0,6.0,6.0,148.375,11.843052593687242,135.75,148.0,163.25,27.5,NAP,1991-08-14,1996-01-02,11ES7084,208490.0,570810.0
P11E0022,162.0,1980.0,1988.0,9.0,9.0,176.7962962962963,22.900849990704604,161.0,164.0,219.0,58.0,NAP,1980-01-14,1988-01-28,11ES7085,207035.0,563835.0
P11E0023,164.0,1980.0,1988.0,9.0,9.0,224.90243902439025,15.719637014883482,207.3,218.0,263.85,56.55000000000001,NAP,1980-01-14,1988-01-28,11ES7086,207760.0,563310.0
P11E0024,36.0,1991.0,1993.0,3.0,3.0,159.16666666666666,11.123976678457085,142.75,158.0,178.0,35.25,NAP,1991-06-14,1993-03-01,11ES7088,209885.0,565800.0
P11E0025,122.0,1992.0,1998.0,7.0,7.0,45.040983606557376,20.263714890742094,25.05,48.0,63.89999999999998,38.84999999999998,NAP,1992-07-14,1998-08-14,11ES7096,205910.0,564110.0
P11E0026,53.0,1992.0,1995.0,4.0,4.0,192.20754716981133,9.350768151428557,181.0,191.0,210.6,29.599999999999994,NAP,1992-07-28,1995-11-28,11ES7097,206500.0,563780.0
P11E0027,38.0,1992.0,1995.0,4.0,4.0,138.52631578947367,5.391368688006248,132.0,138.0,148.0,16.0,NAP,1992-11-14,1995-06-14,11ES7098,206080.0,564230.0
P11E0028,54.0,1992.0,1995.0,4.0,4.0,191.42592592592592,24.46684460602841,143.25,194.5,218.0,74.75,NAP,1992-11-14,1995-11-28,11ES7099,206270.0,564010.0
P11E0029,29.0,1992.0,1995.0,4.0,4.0,218.93103448275863,4.891180360628409,210.0,220.0,226.0,16.0,NAP,1992-11-14,1995-06-14,11ES7100,206360.0,563900.0
P11E0030,33.0,1992.0,1995.0,4.0,4.0,161.8181818181818,10.202495238465396,142.0,162.0,175.4,33.400000000000006,NAP,1992-11-14,1995-11-28,11ES7101,206950.0,563870.0
P11E0031,64.0,1992.0,1997.0,6.0,6.0,202.421875,37.19353275729873,152.0,199.0,248.7,96.69999999999999,NAP,1992-11-14,1997-07-14,11ES7102,206980.0,563740.0
P11E0032,56.0,1992.0,1995.0,4.0,4.0,237.53571428571428,16.130112196774064,224.75,232.0,285.5,60.75,NAP,1992-09-14,1995-11-28,11ES7103,207650.0,563290.0
P11E0033,70.0,1992.0,1995.0,4.0,4.0,161.15714285714284,11.076330311420916,152.45,158.0,193.2,40.75,NAP,1992-06-15,1995-11-28,11ES7104,207075.0,563870.0
P11E0034,43.0,1992.0,1995.0,4.0,4.0,173.37209302325581,17.37406832831202,142.2,180.0,191.0,48.80000000000001,NAP,1992-11-14,1995-11-28,11ES7105,206990.0,563990.0
P11E0035,46.0,1992.0,1995.0,4.0,4.0,188.97826086956522,5.874574709655472,183.0,188.0,201.75,18.75,NAP,1992-11-14,1995-11-28,11ES7106,206620.0,563850.0
P11E0036,252.0,1992.0,2008.0,15.0,17.0,-5.9563492063492065,56.3013561873154,-48.0,-42.0,68.0,116.0,NAP,1992-11-14,2008-06-26,11ES7107,206650.0,564460.0
P11E0037,104.0,1992.0,1997.0,6.0,6.0,128.6346153846154,5.651802173802603,121.14999999999999,128.0,139.85,18.700000000000003,NAP,1992-06-15,1997-09-15,11ES7108,207900.0,563930.0
