locname,nmeas,firstyear,lastyear,nyears,yearspan,mean,std,q05,q50,q95,q95-q05,ref,firstdate,lastdate,alias,xcr,ycr
P58A0065,402.0,1985.0,2017.0,28.0,33.0,27.44268656716415,0.22380688653949074,26.99,27.515,27.68,0.6900000000000013,NAP,1985-04-29,2017-12-28,58AS7164,184650.0,373280.0
P58A0066,50.0,1988.0,1992.0,5.0,5.0,28.25480000000001,0.31937592206025295,27.5035,28.34,28.5655,1.0620000000000012,NAP,1988-11-30,1992-06-29,58AS7606,183900.0,364425.0
P58A0067,3.0,1988.0,1990.0,2.0,3.0,27.689999999999998,0.6495382975621982,27.052,28.06,28.069,1.0169999999999995,NAP,1988-11-30,1990-11-05,58AS7607,183700.0,364500.0
P58A0068,227.0,1988.0,2009.0,21.0,22.0,28.57594713656387,0.41506088350518017,27.38,28.72,28.82,1.4400000000000013,NAP,1988-11-30,2009-05-27,58AS7608,182850.0,364260.0
P58A0069,291.0,1988.0,2014.0,26.0,27.0,28.07948453608246,0.2977977946261195,27.505000000000003,28.2,28.4,0.894999999999996,NAP,1988-11-30,2014-12-31,58AS7609,184000.0,364320.0
P58A0070,233.0,1988.0,2009.0,21.0,22.0,28.570214592274674,0.19934255379036575,28.32,28.5,28.854,0.5339999999999989,NAP,1988-11-30,2009-07-28,58AS7610,183020.0,364250.0
P58A0071,237.0,1992.0,2014.0,22.0,23.0,28.219957805907175,0.17590323295680804,27.89,28.26,28.42,0.5300000000000011,NAP,1992-10-28,2014-12-31,58AS7615,183685.0,364840.0
P58A0072,26.0,1992.0,1997.0,6.0,6.0,28.375769230769226,0.1300207084097937,28.135,28.395,28.53,0.3949999999999996,NAP,1992-10-28,1997-07-28,58AS7616,183478.0,364916.0
P58A0073,106.0,1993.0,2008.0,16.0,16.0,27.761886792452827,0.20967600043217324,27.56,27.715,28.27,0.7100000000000009,NAP,1993-12-01,2008-12-27,58AS7619,180947.0,362756.0
P58A0074,190.0,1993.0,2014.0,20.0,22.0,27.8581052631579,0.13015899708593792,27.7,27.83,28.12,0.4200000000000017,NAP,1993-12-01,2014-12-19,58AS7620,181150.0,362632.0
P58A0075,197.0,1993.0,2014.0,21.0,22.0,27.976091370558372,0.19081311451273664,27.7,27.97,28.29,0.5899999999999999,NAP,1993-12-01,2014-12-19,58AS7621,181233.0,362935.0
P58A0076,37.0,1992.0,1997.0,6.0,6.0,28.335675675675677,0.11400634827695978,28.22,28.31,28.576,0.35600000000000165,NAP,1992-10-28,1997-07-28,58AS7629,183234.0,365054.0
P58A0077,187.0,1993.0,2014.0,18.0,22.0,22.694010695187163,17.2342622446731,-28.397,28.46,28.7,57.096999999999994,NAP,1993-05-26,2014-12-31,58AS7630,183900.0,364425.0
P58A0078,141.0,1993.0,2009.0,16.0,17.0,22.06964539007092,18.16409918380397,-28.5,28.5,28.87,57.370000000000005,NAP,1993-05-26,2009-09-28,58AS7631,183700.0,364790.0
P58A0079,195.0,1996.0,2014.0,18.0,19.0,25.054102564102575,13.06794431612027,-28.16,28.26,28.38,56.54,NAP,1996-11-28,2014-12-31,58AS7632,184135.0,364110.0
P58A0080,4.0,2008.0,2008.0,1.0,1.0,26.0375,0.04856267428111073,26.01,26.015,26.0965,0.08649999999999736,NAP,2008-04-14,2008-05-28,,186699.0,373617.0
P58A0081,192.0,2008.0,2017.0,10.0,10.0,28.427343750000006,0.1304511967178948,28.1665,28.45,28.5945,0.4280000000000008,NAP,2008-04-14,2017-12-28,,185562.0,374029.0
P58A0082,196.0,2008.0,2017.0,10.0,10.0,26.201581632653063,0.3001060470163542,25.9175,26.145,26.4725,0.5549999999999997,NAP,2008-05-14,2017-06-14,,184037.0,374443.0
P58A0083,3176.0,2006.0,2017.0,11.0,12.0,25.42876574307311,7.031315710296486,-1.71,27.22,27.4,29.11,NAP,2006-07-21,2017-04-17,,187028.0,373347.0
P58A0084,61.0,2014.0,2017.0,4.0,4.0,26.328032786885245,0.27196090204372636,25.9,26.3,26.78,0.8800000000000026,NAP,2014-02-27,2017-11-14,,184100.0,374363.0
P58A0085,92.0,2014.0,2017.0,4.0,4.0,27.62032608695654,0.16695364288458003,27.2655,27.67,27.82,0.5545000000000009,NAP,2014-02-27,2017-12-28,,185046.0,374422.0
P58A0086,94.0,2014.0,2018.0,5.0,5.0,26.16734042553192,0.3681694780732959,25.77,26.064999999999998,26.867,1.0970000000000013,NAP,2014-02-27,2018-09-14,,184301.0,374608.0
P58A0087,91.0,2014.0,2017.0,4.0,4.0,27.412197802197795,0.1428270297932448,27.15,27.49,27.56,0.41000000000000014,NAP,2014-02-27,2017-12-28,,183932.0,373464.0
P58A0088,62.0,2014.0,2017.0,4.0,4.0,28.626290322580658,0.22451575483049577,28.5705,28.66,28.71,0.13950000000000173,NAP,2014-02-27,2017-12-28,,185761.0,374193.0
P58A0089,83.0,2014.0,2019.0,6.0,6.0,27.02096385542168,0.14453976124263,26.853,27.0,27.3,0.4469999999999992,NAP,2014-02-27,2019-05-28,,185835.0,374443.0
P58A0090,58.0,2014.0,2017.0,4.0,4.0,27.91293103448276,0.38445225844045156,27.7085,27.925,28.1645,0.4559999999999995,NAP,2014-02-27,2017-05-14,,187400.0,373714.0
P58A0091,59.0,2014.0,2017.0,4.0,4.0,27.861864406779667,0.10565843759689934,27.686,27.87,27.99,0.3039999999999985,NAP,2014-02-27,2017-12-28,,187395.0,373733.0
P58A0092,106.0,2014.0,2019.0,6.0,6.0,28.33660377358491,0.10806423832458181,28.14,28.38,28.475,0.33500000000000085,NAP,2014-02-27,2019-05-28,,185255.0,372545.0
P58A0093,79.0,2014.0,2017.0,4.0,4.0,28.320253164556952,0.07016417895969411,28.16,28.34,28.4,0.23999999999999844,NAP,2014-02-27,2017-12-28,,184180.0,371875.0
P58A0094,80.0,2014.0,2017.0,4.0,4.0,28.16337500000001,0.0874815532092265,28.0,28.17,28.29,0.28999999999999915,NAP,2014-02-27,2017-12-28,,184196.0,371880.0
P58A0095,1316.0,2011.0,2017.0,7.0,7.0,26.09493161094225,0.21453902096611407,25.68,26.17,26.31,0.629999999999999,NAP,2011-08-19,2017-04-04,,182142.0,373055.0
